14:56发布,Python工程师,成都·锦江区,15k-30k,经验3-5年 / 本科,希望金科,移动互联网 金融 / 不需要融资 / 150-500人,后端,"六险一金,实力平台,牛人团队,技术氛围好"
10:26发布,Python 开发工程师,杭州·古荡,10k-20k,经验1-3年 / 本科,Club Factory,电子商务,移动互联网 / C轮 / 150-500人,电商,"弹性工作,周末双休"
11:30发布,Python研发工程师,北京·太阳宫,17k-24k,经验3-5年 / 本科,听云,移动互联网 / 上市公司 / 150-500人,"","上市公司 带薪年假 地铁周边"
1天前发布,Python工程师,北京·建国门,20k-35k,经验5-10年 / 本科,易到用车,移动互联网,O2O / D轮及以上 / 500-2000人,弹性工作带薪年假五险一金补充医疗,"年底双薪 弹性上班"
2天前发布,python研发工程师,杭州·拱墅区,15k-30k,经验1-3年 / 本科,美登科技,电子商务,企业服务 / 不需要融资 / 15-50人,后端C,"弹性工作,技术大神带,午餐补助,年度旅游"
1天前发布,python开发,广州·天河区,10k-15k,经验3-5年 / 本科,BBGAME,游戏 / 天使轮 / 50-150人,年底双薪绩效奖金领导好扁平管理,"晋升快,薪资高,福利好,上司nice"
1天前发布,Python工程师,上海·杨浦区,15k-30k,经验1-3年 / 本科,GeexFinance,金融 / A轮 / 150-500人,风控,"有挑战"
09:48发布,Python开发工程师,上海·浦东新区,13k-22k,经验不限 / 本科,妈妈帮,移动互联网,O2O / 不需要融资 / 50-150人,绩效奖金年底双薪专项奖金五险一金,"氛围活跃,技术团队,不打卡,福利赞"
1天前发布,Python开发工程师,郑州·姚寨,5k-10k,经验1-3年 / 大专,郑州创恒实业有限公司,移动互联网 / 未融资 / 150-500人,后端Node.jsPHP,"周末双休,年底双薪,全勤奖,外出旅游"
12:17发布,Python工程师,杭州·西兴,15k-30k,经验3-5年 / 本科,TELETRAAN,数据服务,企业服务 / 天使轮 / 15-50人,全新MAC24+显示器硅谷工作机会股票期权,"弹性工作,硅谷团队,股权激励,全正版软件"
09:13发布,Python开发工程师,深圳·科技园,13k-25k,经验1-3年 / 大专,易博天下,移动互联网,O2O / 上市公司 / 150-500人,年底双薪股票期权带薪年假创业公司范儿,"平台好 高速增长 股票期权 创业团队"
